brand,vehicle_type,battery_health_pct,range_km,top_speed_kmph,odometer_km,warranty_remaining_years,annual_maintenance_cost,Purchase_Year,Current_Year,Purchase_Price_L,Resale_Value_L,Initial_Mileage,Current_Mileage,value_for_money_score
TVS,Bike,93,248,141,26013,4,17633,2017,2025,142956,41217,193,168,0.6
Ola,Bike,92,475,99,114036,2,20243,2021,2025,119187,67280,439,344,0.7
Ola,Car,72,263,125,102735,5,8665,2022,2025,3239118,1930328,192,149,0.5
Mahindra,Car,91,465,81,11493,7,9307,2018,2025,882160,331860,250,209,0.7
Kia,Car,67,319,139,106050,0,36823,2018,2025,960383,241883,104,96,0.4
Tata,Bike,81,375,160,10720,1,21513,2018,2025,120913,42929,435,429,0.6
Tata,Car,79,142,155,52350,2,32263,2020,2025,1835215,1008681,371,344,0.4
Hyundai,Car,80,337,133,82644,7,6551,2018,2025,3394424,970245,267,216,0.5
Hyundai,Bike,93,262,164,109518,5,23906,2021,2025,96529,54420,341,294,0.7
TVS,Bike,89,419,93,13304,2,24637,2018,2025,180439,62719,338,275,0.6
TVS,Bike,65,206,107,146777,2,28395,2023,2025,140051,99141,310,220,0.4
MG,Bike,94,387,75,38596,5,34309,2018,2025,153885,54268,307,241,0.5
MG,Bike,86,391,108,114337,7,4107,2022,2025,125657,89094,145,102,0.8
Tata,Car,79,204,157,95692,5,30631,2023,2025,1552113,1120089,155,142,0.5
Kia,Car,97,168,160,44154,2,5603,2020,2025,1474617,706864,204,196,0.6
Hyundai,Car,99,208,122,13647,1,31142,2019,2025,1391755,608015,184,176,0.5
Tata,Bike,73,279,99,141516,4,16433,2023,2025,128806,93948,164,154,0.6
Kia,Car,69,231,115,100573,3,16095,2020,2025,2449896,1069848,376,274,0.4
Tata,Bike,74,106,157,63951,0,17425,2023,2025,119153,77413,300,272,0.5
Hyundai,Bike,99,439,167,86569,6,28235,2020,2025,81570,35886,420,396,0.8
BYD,Car,62,248,136,98125,4,38224,2022,2025,2688423,1752014,190,154,0.3
MG,Car,74,284,107,128582,2,4245,2019,2025,2775497,1143415,224,161,0.4
Mahindra,Bike,90,255,96,89605,6,26711,2020,2025,147958,79233,156,130,0.5
Mahindra,Bike,70,389,71,114745,7,5886,2017,2025,168716,49296,111,89,0.5
Mahindra,Car,98,344,138,55416,5,7659,2021,2025,3263204,1608181,414,394,0.7
Hyundai,Car,78,371,153,135832,6,33484,2022,2025,2538111,1444664,328,253,0.5
Ola,Bike,74,137,154,30208,4,38632,2023,2025,171992,121011,198,185,0.4
Ola,Bike,97,214,152,85976,5,36046,2020,2025,187699,97046,252,210,0.6
Ola,Bike,79,436,157,122030,0,14711,2019,2025,152291,57168,193,149,0.7
TVS,Bike,81,218,91,68646,4,24955,2017,2025,155327,34359,299,243,0.4
MG,Car,66,231,167,127937,4,12554,2023,2025,1372779,906182,312,228,0.6
MG,Car,73,155,82,115866,6,11414,2023,2025,2328947,1681386,127,120,0.4
BYD,Bike,63,219,133,80086,5,19319,2024,2025,102374,86247,424,316,0.5
BYD,Bike,68,149,131,17453,2,30183,2024,2025,160909,130450,164,155,0.4
TVS,Car,98,464,80,144380,5,36994,2017,2025,1256733,328680,222,158,0.5
Tata,Bike,84,472,134,54000,1,28282,2019,2025,109370,49006,337,240,0.7
Kia,Bike,94,461,71,138462,5,33240,2021,2025,108035,67168,318,304,0.6
BYD,Bike,96,181,108,104905,7,33742,2024,2025,163947,135905,250,217,0.6
Mahindra,Bike,86,469,162,70824,3,16803,2020,2025,100326,49705,145,101,0.8
Ola,Bike,87,148,106,124928,6,20361,2018,2025,105484,26430,178,155,0.4
Mahindra,Bike,83,147,142,143374,7,18561,2019,2025,151927,64695,333,275,0.5
Ola,Car,92,233,157,12895,4,30230,2022,2025,888433,524524,183,160,0.6
Mahindra,Bike,92,337,121,107903,1,27431,2020,2025,185806,81661,230,209,0.6
Tata,Car,75,481,97,132115,5,37074,2021,2025,3020559,1702993,269,239,0.5
Kia,Car,82,488,157,118124,3,29563,2022,2025,2124953,1339773,430,423,0.7
Mahindra,Car,70,434,169,54084,0,32493,2017,2025,2205261,526637,427,370,0.5
Mahindra,Bike,99,272,85,42120,0,31608,2022,2025,139536,87647,405,337,0.6
Hyundai,Bike,78,499,99,30370,4,5605,2020,2025,199616,94591,437,349,0.7
Kia,Bike,93,467,75,95696,3,38979,2024,2025,83579,67051,308,232,0.7
Mahindra,Car,82,244,78,61283,6,24177,2022,2025,3209373,1890429,150,134,0.4
Hyundai,Car,69,286,109,94931,0,8540,2023,2025,2715446,1883851,162,140,0.5
MG,Bike,96,219,115,45255,2,10104,2021,2025,96837,55426,374,329,0.7
Kia,Bike,60,283,88,51640,1,4362,2020,2025,185877,86446,439,428,0.4
TVS,Car,61,456,168,122455,7,31492,2023,2025,3408538,2554526,246,236,0.5
Kia,Car,81,462,97,93944,4,30117,2021,2025,2752221,1732923,323,258,0.5
Kia,Car,76,178,120,141134,5,9719,2018,2025,2857825,747328,178,130,0.3
Mahindra,Bike,83,262,95,53290,7,11264,2022,2025,147216,87906,164,133,0.6
MG,Car,80,107,144,23360,5,5968,2021,2025,1277792,799325,132,115,0.5
Kia,Car,99,198,69,8663,0,9050,2020,2025,1575208,843107,320,250,0.5
BYD,Car,88,416,106,128561,6,10213,2021,2025,2165146,1104553,365,288,0.7
BYD,Bike,73,455,146,23887,7,9317,2017,2025,174243,35015,369,345,0.6
Hyundai,Bike,67,126,103,147063,5,14704,2017,2025,100231,26887,245,225,0.3
Mahindra,Bike,89,474,175,98957,1,30910,2019,2025,131821,59207,441,400,0.7
Mahindra,Car,81,375,167,35051,2,30344,2017,2025,1087194,312792,441,369,0.5
Kia,Car,82,412,121,127743,5,20736,2017,2025,2142502,428500,337,280,0.5
Tata,Car,99,378,66,77814,4,19983,2024,2025,3058666,2233945,379,266,0.6
MG,Car,72,455,161,19626,6,6346,2021,2025,958684,517982,203,171,0.7
Ola,Bike,87,303,128,122008,4,33458,2022,2025,125815,83733,188,132,0.6
Ola,Car,89,485,78,46646,0,24581,2020,2025,3093967,1247625,316,273,0.6
Tata,Car,64,259,169,71291,4,8754,2019,2025,3040026,1285459,426,299,0.4
Hyundai,Bike,69,277,92,7056,7,12454,2020,2025,119114,53078,406,353,0.5
Ola,Car,98,291,83,85960,1,20233,2024,2025,1241944,908908,306,232,0.7
Kia,Car,68,139,166,112659,3,17173,2018,2025,2493728,699236,351,340,0.3
Ola,Car,73,459,82,124456,1,11023,2017,2025,955211,191042,116,105,0.5
BYD,Bike,97,335,145,37383,2,14658,2024,2025,139134,115903,229,192,0.8
BYD,Car,69,132,159,18589,7,34777,2020,2025,3325449,1657688,270,234,0.2
TVS,Bike,92,128,112,90337,5,9949,2019,2025,169881,62590,281,235,0.5
MG,Car,70,132,169,84245,4,38521,2018,2025,2414830,764614,276,221,0.2
Hyundai,Bike,99,199,80,15747,2,16987,2024,2025,195439,164659,228,168,0.6
Mahindra,Bike,65,244,141,65150,2,30674,2023,2025,199441,135044,321,298,0.5
MG,Bike,76,429,161,7197,4,17287,2024,2025,128263,104999,322,266,0.8
Hyundai,Car,95,164,150,40805,3,33542,2022,2025,3173139,1825013,105,100,0.5
Ola,Car,65,221,96,100679,1,6008,2021,2025,2998049,1558417,250,230,0.4
TVS,Bike,69,142,108,59182,2,14078,2021,2025,114275,66248,174,141,0.4
MG,Bike,64,472,84,41102,1,9127,2020,2025,158232,75477,127,115,0.6
Ola,Car,78,308,98,118912,2,26364,2021,2025,2094889,1024525,397,359,0.4
Hyundai,Bike,66,329,89,94736,4,3755,2024,2025,178354,139511,447,382,0.6
MG,Car,83,226,102,89881,4,34136,2024,2025,2227343,1685472,119,108,0.5
Mahindra,Car,78,455,137,51494,7,27361,2019,2025,2366951,772513,306,242,0.5
MG,Bike,70,285,157,68293,6,18984,2017,2025,96654,19330,169,138,0.5
Ola,Bike,62,336,113,38012,4,30004,2021,2025,147704,92134,302,214,0.4
Kia,Car,89,190,91,95453,4,7342,2020,2025,1668783,853657,278,210,0.5
Kia,Car,97,142,154,42342,4,25418,2024,2025,2898815,2400623,269,247,0.6
MG,Car,65,145,108,126762,1,15240,2022,2025,2219505,1400134,407,380,0.3
Mahindra,Bike,94,124,61,114310,2,4436,2020,2025,179346,88918,386,366,0.5
TVS,Car,81,453,106,10020,7,16524,2021,2025,2629210,1413745,169,167,0.6
TVS,Bike,70,294,162,24540,5,28678,2023,2025,115116,75031,143,139,0.6
Kia,Bike,67,448,158,17340,7,25393,2024,2025,160042,121486,207,172,0.7
Ola,Car,86,198,82,117189,0,17185,2019,2025,1938524,909625,165,162,0.4
Hyundai,Bike,88,355,65,106436,3,39863,2020,2025,140896,57468,203,177,0.5
Ola,Bike,67,460,144,50910,7,17189,2024,2025,173501,146149,411,301,0.7
TVS,Bike,82,429,149,91439,0,3669,2020,2025,176486,87719,426,399,0.8
Tata,Bike,88,472,153,93043,6,20488,2024,2025,143547,123446,251,217,0.9
Tata,Car,75,393,100,18393,6,11048,2020,2025,3173767,1662550,176,143,0.5
MG,Car,94,345,101,42434,5,27518,2024,2025,1434276,1045006,261,241,0.7
Mahindra,Bike,67,265,176,71304,7,18656,2022,2025,175361,108887,127,110,0.6
Kia,Bike,67,356,153,145786,2,7687,2021,2025,80039,47618,164,155,0.6
BYD,Bike,92,409,112,24627,1,27452,2018,2025,145901,52802,299,268,0.6
BYD,Bike,64,451,131,76737,5,38520,2021,2025,112076,56211,361,333,0.5
BYD,Bike,96,377,98,48189,6,3712,2022,2025,106726,73768,301,245,0.8
MG,Car,76,288,156,115287,2,23209,2022,2025,1504326,989511,337,318,0.6
Tata,Car,81,285,69,29456,3,7172,2017,2025,2423751,608073,104,75,0.4
TVS,Car,73,281,141,10912,6,34892,2020,2025,874073,470971,449,418,0.4
MG,Car,97,374,171,83757,6,27134,2018,2025,3432577,1126313,175,171,0.6
BYD,Bike,91,326,159,120096,5,7551,2020,2025,170229,73590,316,245,0.7
BYD,Bike,73,133,164,75117,2,32334,2024,2025,185257,139469,219,209,0.5
Kia,Car,79,306,178,74638,4,6872,2021,2025,1205642,724989,204,172,0.7
Ola,Car,81,143,109,145623,0,39189,2020,2025,2481009,1082362,411,409,0.3
BYD,Car,89,472,134,7677,6,3532,2022,2025,3295895,2204227,284,276,0.8
Mahindra,Bike,92,344,167,67458,3,22788,2024,2025,146398,111476,143,136,0.8
BYD,Bike,64,353,67,90948,3,30489,2018,2025,106813,30359,256,223,0.3
Ola,Bike,77,208,60,81800,0,10336,2019,2025,146634,50445,255,254,0.4
BYD,Car,66,422,131,16667,7,16029,2019,2025,1883391,606099,345,253,0.5
Mahindra,Car,88,213,128,143992,1,14348,2023,2025,2321687,1800571,165,129,0.6
TVS,Bike,68,377,60,59713,0,34096,2022,2025,135465,90988,234,224,0.4
MG,Bike,66,336,126,16994,6,10922,2017,2025,127821,27731,350,277,0.5
Mahindra,Bike,66,128,86,62280,0,39855,2018,2025,101013,31143,409,368,0.2
Ola,Car,65,497,168,99090,0,30413,2019,2025,2000960,690192,133,127,0.5
MG,Bike,99,321,120,105213,6,16288,2018,2025,176802,66261,382,358,0.6
MG,Bike,86,417,107,36382,1,30624,2021,2025,161265,89788,135,125,0.6
Ola,Car,63,370,82,70246,3,19284,2022,2025,3472869,2283778,155,148,0.4
Kia,Bike,60,341,103,56095,5,22989,2020,2025,123050,66327,279,213,0.4
Tata,Bike,65,497,162,142340,2,16038,2018,2025,186682,51923,102,71,0.6
BYD,Bike,90,470,99,45768,0,8931,2020,2025,105700,50685,168,158,0.8
Mahindra,Bike,60,196,70,20257,1,19264,2022,2025,199166,139372,363,332,0.3
Ola,Car,64,442,168,139675,2,37846,2021,2025,1264679,795234,412,397,0.5
TVS,Bike,78,480,70,14717,7,17858,2017,2025,129148,39577,153,120,0.5
Hyundai,Car,64,475,159,144948,5,39325,2023,2025,2443295,1785879,363,360,0.5
Ola,Bike,64,362,161,15551,7,32109,2021,2025,186729,92256,305,224,0.5
BYD,Car,90,439,90,17610,6,9680,2022,2025,1694354,1138691,441,330,0.7
BYD,Bike,66,106,119,92973,5,6660,2020,2025,143227,75914,253,216,0.4
MG,Bike,74,372,114,31338,2,25095,2021,2025,128219,69607,168,153,0.6
MG,Car,72,387,83,121778,3,22499,2023,2025,1269295,912647,198,166,0.5
Ola,Bike,71,480,121,132365,5,27949,2017,2025,158936,32382,210,182,0.5
Hyundai,Bike,78,434,78,93592,6,21450,2023,2025,197196,144803,147,113,0.6
Kia,Car,72,304,176,103526,4,14705,2020,2025,1262871,649469,157,122,0.6
Ola,Bike,86,283,155,130103,2,28276,2017,2025,86298,17259,193,182,0.5
Hyundai,Bike,97,417,99,69805,0,27795,2022,2025,183848,116918,412,321,0.7
Kia,Bike,92,157,161,67562,2,36064,2022,2025,99468,58238,353,295,0.6
Hyundai,Bike,65,210,76,20590,4,26031,2022,2025,136287,96031,238,234,0.4
BYD,Bike,72,285,109,13000,7,25697,2017,2025,161499,47518,385,295,0.4
BYD,Car,72,230,158,114419,6,19080,2024,2025,2118653,1720825,167,145,0.5
BYD,Car,72,188,71,64185,4,35700,2018,2025,2126907,724654,185,173,0.2
TVS,Bike,79,435,74,136596,6,10797,2022,2025,187995,132127,288,246,0.7
BYD,Bike,95,217,98,125962,3,11454,2021,2025,157000,92526,169,158,0.6
Mahindra,Car,96,356,72,74843,1,22801,2023,2025,1327042,952689,341,300,0.6
MG,Car,68,209,153,20387,5,22896,2023,2025,987299,675122,288,222,0.5
MG,Car,76,166,165,52021,5,10609,2022,2025,1309281,881642,323,267,0.6
Hyundai,Car,94,247,78,7696,5,7793,2022,2025,919287,541456,198,189,0.6
MG,Car,77,319,132,10516,7,5879,2024,2025,2604343,1933061,244,206,0.6
Tata,Car,84,313,116,113197,7,22663,2023,2025,2787790,2094270,239,219,0.6
Kia,Bike,74,161,151,96968,3,6859,2018,2025,185719,61193,164,154,0.5
Hyundai,Bike,82,155,167,49333,6,34377,2020,2025,184691,74831,242,211,0.5
MG,Bike,60,411,119,23304,7,31955,2019,2025,157248,59571,108,93,0.4
Tata,Bike,97,433,166,91377,5,38892,2022,2025,81028,52369,155,110,0.8
Kia,Bike,77,434,115,81976,6,29104,2020,2025,90677,40814,294,252,0.6
TVS,Car,60,195,84,87450,7,35880,2022,2025,3138461,2042414,390,303,0.2
MG,Car,98,245,163,87429,4,22817,2018,2025,2739216,660858,351,274,0.5
Tata,Car,69,147,164,12590,7,38619,2021,2025,2530100,1582186,374,268,0.3
Ola,Car,90,393,63,81989,1,24950,2019,2025,2878518,1293498,269,205,0.5
Mahindra,Car,97,377,111,50608,5,12842,2020,2025,1602492,695535,268,243,0.7
Ola,Car,66,302,160,98854,5,38615,2017,2025,1332551,266510,173,167,0.3
Tata,Bike,97,298,66,128489,5,11832,2018,2025,125113,38758,394,326,0.6
Hyundai,Bike,67,428,164,91635,6,17229,2023,2025,127971,95441,427,352,0.7
BYD,Car,93,484,127,5311,5,8781,2021,2025,2028135,1061922,194,180,0.8
BYD,Bike,68,480,146,93385,5,7556,2019,2025,92829,41118,361,259,0.7
BYD,Car,84,223,167,46510,6,19196,2024,2025,2760400,2302734,101,98,0.6
Kia,Bike,86,299,167,115539,3,17110,2024,2025,114155,85780,245,175,0.8
Hyundai,Car,66,174,129,62065,0,6919,2022,2025,1772074,1073340,273,202,0.4
Kia,Car,91,256,104,38648,2,4053,2018,2025,831669,256654,239,179,0.6
MG,Bike,68,233,68,134556,0,28945,2022,2025,197478,135120,241,232,0.4
BYD,Car,76,411,68,103908,0,23616,2021,2025,1925080,969551,345,301,0.5
Ola,Bike,94,219,144,8047,2,16065,2022,2025,101407,70907,172,150,0.7
Hyundai,Bike,75,111,62,17841,5,11920,2018,2025,152201,44339,439,424,0.3
Hyundai,Car,61,334,136,50095,2,33332,2023,2025,3233033,2190889,367,346,0.4
BYD,Car,90,394,122,12269,5,39875,2022,2025,1987246,1324429,101,100,0.6
Ola,Car,75,207,161,7924,6,37079,2020,2025,1266017,549668,148,139,0.4
TVS,Bike,92,495,141,136335,7,25111,2020,2025,81699,44609,387,341,0.8
Hyundai,Bike,80,132,178,130998,4,31289,2017,2025,83482,16696,184,132,0.4
BYD,Car,76,219,169,139004,2,13717,2024,2025,1266025,1029202,422,321,0.6
Mahindra,Car,94,355,154,13877,0,19550,2019,2025,1368935,471190,435,394,0.7
Tata,Car,66,182,152,137355,6,23834,2018,2025,3368417,1152610,108,94,0.3
Kia,Car,88,280,178,48435,7,22667,2024,2025,1356015,1035947,235,175,0.7
MG,Car,70,327,61,57752,6,25224,2017,2025,2421025,544240,401,322,0.3
Hyundai,Car,89,374,90,91353,5,37710,2019,2025,3490002,1405439,221,217,0.4
Mahindra,Car,77,285,97,82895,6,32223,2024,2025,1986186,1432542,411,373,0.5
Mahindra,Bike,75,440,175,105868,5,34802,2020,2025,110070,47368,172,131,0.6
Hyundai,Bike,65,310,66,106410,2,18095,2018,2025,117995,43726,238,220,0.4
TVS,Car,61,348,163,54813,7,34189,2020,2025,1795857,724800,385,278,0.4
Tata,Car,69,483,69,33015,4,38967,2020,2025,1235385,592513,120,113,0.4
MG,Bike,63,142,136,46076,6,17849,2021,2025,134081,71661,398,392,0.4
Hyundai,Car,69,172,118,6978,1,10720,2019,2025,2681665,1212816,269,239,0.3
Kia,Bike,68,441,60,16073,3,20111,2022,2025,140636,79021,273,205,0.5
MG,Bike,83,118,96,79403,5,23434,2021,2025,169733,94803,268,190,0.4
Ola,Car,64,264,84,126410,7,10717,2022,2025,1838319,1178238,370,326,0.4
Mahindra,Bike,94,366,153,84899,6,31700,2019,2025,174619,74226,221,162,0.6
Mahindra,Bike,63,227,125,52339,0,31776,2018,2025,91595,30408,136,134,0.3
Hyundai,Car,94,454,159,12126,2,19747,2017,2025,3385252,677050,438,382,0.6
Hyundai,Car,72,400,147,9552,1,20893,2020,2025,1370963,734858,386,319,0.6
Kia,Bike,96,417,135,124762,3,4073,2024,2025,190685,157933,424,297,0.9
Ola,Car,91,450,64,66846,6,29694,2024,2025,2701429,2211305,271,247,0.6
TVS,Bike,60,241,115,96629,3,37520,2022,2025,185874,124969,244,217,0.4
Hyundai,Bike,70,133,138,17488,5,26174,2021,2025,185412,110866,298,248,0.4
Mahindra,Bike,85,197,101,149964,3,17957,2020,2025,124465,49807,227,219,0.5
MG,Bike,62,309,123,124015,6,36214,2019,2025,119131,41406,354,291,0.4
Tata,Bike,72,415,108,118494,5,22193,2020,2025,181242,93754,329,253,0.6
BYD,Bike,91,419,105,66024,6,19924,2024,2025,168539,123979,384,345,0.8
MG,Car,82,297,130,116508,6,29324,2022,2025,1729864,1125926,210,204,0.5
TVS,Car,82,355,177,120567,6,28502,2022,2025,3497769,2441620,369,366,0.6
Tata,Car,89,141,61,82644,0,15557,2024,2025,1343531,1048933,129,90,0.5
MG,Car,65,203,178,68279,3,24793,2017,2025,1285098,296050,361,288,0.3
MG,Bike,66,488,126,8944,5,37974,2023,2025,186471,134504,146,122,0.6
Ola,Bike,89,421,63,129619,0,34173,2018,2025,90002,32645,370,341,0.5
BYD,Bike,96,469,121,112614,0,37073,2021,2025,148596,76658,225,183,0.7
Kia,Bike,91,288,171,43961,4,38507,2020,2025,113772,53721,100,86,0.6
TVS,Bike,65,491,139,102982,3,31703,2017,2025,192614,38522,169,137,0.5
Mahindra,Car,94,421,86,68297,2,37739,2017,2025,2974319,836373,246,175,0.4
Ola,Car,91,442,145,44459,5,13621,2018,2025,934925,227776,232,195,0.7
Tata,Car,71,161,126,20843,1,28276,2019,2025,1288751,475505,416,406,0.3
BYD,Bike,63,487,172,142825,0,15050,2019,2025,172011,68221,132,109,0.7
Mahindra,Bike,91,242,76,28726,7,20736,2022,2025,174213,103942,339,295,0.6
Ola,Car,94,321,145,77312,0,17480,2019,2025,2427661,923517,275,194,0.6
BYD,Bike,75,119,111,93113,4,16504,2018,2025,176864,57740,114,106,0.3
Kia,Bike,74,379,130,80272,0,30028,2017,2025,186139,37227,344,337,0.5
TVS,Car,61,364,116,143827,5,39050,2024,2025,960679,787299,400,398,0.5
Hyundai,Bike,65,347,89,105797,0,17093,2017,2025,169986,52043,263,206,0.4
Kia,Car,73,215,131,51086,2,22902,2018,2025,2162723,586562,179,137,0.3
Hyundai,Car,88,354,142,139389,0,34847,2018,2025,1581742,545836,434,415,0.5
Tata,Car,85,396,130,24954,1,33540,2021,2025,1797378,968017,402,395,0.6
Hyundai,Car,77,112,124,9610,6,13711,2021,2025,2649413,1314167,253,248,0.4
Ola,Bike,63,488,75,109078,1,6094,2020,2025,139700,71396,163,118,0.6
Tata,Bike,96,145,173,21978,2,5828,2021,2025,137787,68331,259,214,0.7
Mahindra,Bike,97,433,163,115448,4,19615,2023,2025,114226,87154,166,124,0.9
Kia,Car,84,341,154,51414,2,14430,2023,2025,2461366,1852400,268,220,0.7
Kia,Bike,88,170,162,148973,1,37701,2024,2025,181519,142679,252,205,0.6
TVS,Car,93,158,86,77906,2,10740,2018,2025,1011374,313500,375,325,0.4
Tata,Bike,75,303,133,148757,7,7186,2018,2025,85262,21971,423,340,0.6
Mahindra,Bike,96,150,157,136075,2,6669,2018,2025,99430,35237,167,136,0.6
Kia,Car,89,115,106,136028,6,19276,2017,2025,1565864,313172,357,260,0.3
Tata,Bike,82,150,73,107723,3,14069,2018,2025,137227,41535,285,212,0.4
MG,Car,95,323,61,74155,3,37807,2017,2025,815423,175842,366,345,0.4
MG,Car,87,227,98,106453,5,33073,2024,2025,809075,702243,266,230,0.5
Tata,Bike,60,269,114,148042,2,11187,2022,2025,164552,92240,395,317,0.5
Kia,Bike,67,366,145,43392,6,16596,2017,2025,126089,32519,342,311,0.5
BYD,Bike,74,167,85,149403,0,5124,2023,2025,95686,68637,440,368,0.5
Hyundai,Bike,93,220,103,25295,7,36627,2017,2025,198137,60124,295,294,0.4
MG,Car,78,279,128,115335,2,35853,2021,2025,1542837,862419,435,362,0.4
BYD,Car,89,325,97,11198,4,7781,2019,2025,1052515,480433,376,373,0.6
BYD,Bike,69,493,139,29192,2,16241,2024,2025,182997,132684,173,122,0.8
TVS,Bike,86,427,71,126400,1,34899,2018,2025,152834,40319,225,198,0.5
Mahindra,Bike,79,290,164,103643,6,33830,2023,2025,188394,128613,414,295,0.6
Ola,Car,84,400,175,93077,6,16480,2017,2025,3342819,766055,177,160,0.6
MG,Bike,68,350,167,38842,4,31072,2022,2025,180285,106604,424,375,0.6
Tata,Car,99,105,165,23278,1,16459,2022,2025,3355095,2294811,141,116,0.5
Hyundai,Bike,93,361,76,44916,4,7094,2018,2025,156822,58400,348,299,0.6
Ola,Bike,80,190,84,9153,4,39914,2021,2025,107991,67732,113,85,0.4
Mahindra,Car,83,293,123,112896,1,8745,2024,2025,1214171,965145,216,172,0.7
BYD,Car,66,428,147,131070,5,16177,2022,2025,3130279,1899736,355,277,0.6
Mahindra,Bike,63,163,70,105218,2,7785,2024,2025,180225,148055,374,262,0.4
Kia,Car,67,393,77,32478,4,3159,2018,2025,2171988,839358,410,309,0.4
MG,Car,72,325,95,81335,0,37730,2019,2025,2428104,1116847,353,319,0.3
Mahindra,Bike,80,433,62,12783,1,18676,2019,2025,153726,68651,256,188,0.5
Mahindra,Car,94,162,142,108111,6,4364,2018,2025,3397493,1096275,371,317,0.5
Hyundai,Car,64,466,129,102719,1,31885,2018,2025,3102020,1009482,191,176,0.4
Kia,Bike,67,170,146,110462,6,33164,2024,2025,192694,163699,227,213,0.5
Kia,Bike,61,119,163,41937,7,23163,2019,2025,114255,39767,316,308,0.3
BYD,Car,83,432,130,130959,2,10019,2023,2025,966113,669453,170,143,0.8
Hyundai,Bike,75,344,170,89034,2,30914,2024,2025,183143,146586,109,93,0.7
Hyundai,Car,63,163,167,108648,7,17087,2022,2025,3121727,1875693,392,376,0.4
Tata,Car,89,392,170,132389,4,25275,2017,2025,1214734,242946,237,215,0.6
Mahindra,Car,89,463,68,81582,1,20993,2017,2025,1040096,313333,129,114,0.5
Mahindra,Bike,94,324,125,38790,2,16348,2024,2025,121537,87605,339,269,0.8
Kia,Car,72,365,175,12252,1,23816,2023,2025,1071427,688375,287,281,0.7
Mahindra,Car,96,261,106,122989,6,17477,2017,2025,2089167,605147,448,408,0.5
TVS,Car,70,144,109,119188,0,27410,2017,2025,3139004,627800,422,396,0.2
Hyundai,Bike,78,418,123,20809,7,4527,2020,2025,94251,41510,404,323,0.7
Ola,Bike,77,368,168,76950,1,6351,2017,2025,106436,29678,333,253,0.6
Kia,Bike,76,124,171,77977,4,28937,2020,2025,164176,70448,151,130,0.4
MG,Car,70,482,106,77772,6,25334,2017,2025,1374191,397501,146,137,0.5
Kia,Car,74,399,134,8417,0,30663,2020,2025,2828985,1493327,223,177,0.5
BYD,Bike,67,324,126,10543,0,37873,2024,2025,89759,75976,271,265,0.5
Ola,Car,88,173,101,49436,5,22106,2017,2025,2856397,584471,130,105,0.3
BYD,Car,76,215,108,96498,3,26747,2022,2025,2722846,1925534,192,175,0.4
Tata,Car,85,251,89,28303,2,23705,2022,2025,3185449,2017902,112,103,0.4
Tata,Car,64,168,67,122427,7,36494,2017,2025,1633037,400652,117,107,0.1
BYD,Bike,63,301,96,68389,6,18351,2019,2025,188430,83632,237,203,0.4
Mahindra,Bike,83,402,144,8243,0,23041,2021,2025,80274,49593,288,271,0.7
Ola,Bike,70,190,67,76236,5,14331,2019,2025,148237,61787,367,336,0.3
Mahindra,Car,89,149,170,55535,5,21187,2021,2025,1518043,880969,302,280,0.5
Kia,Car,99,471,122,77445,5,33580,2022,2025,974000,549322,258,251,0.7
TVS,Bike,94,388,70,116603,3,18684,2018,2025,127825,46094,339,272,0.6
Tata,Bike,92,191,164,116229,7,31127,2024,2025,178274,141908,343,339,0.7
Tata,Bike,95,459,117,143530,4,25687,2023,2025,123782,88682,264,257,0.8
Ola,Car,80,334,93,67437,6,17739,2023,2025,2083945,1493160,197,183,0.6
Tata,Bike,97,486,98,68797,2,25784,2020,2025,162317,66182,157,135,0.7
TVS,Car,64,415,75,53433,1,5252,2023,2025,1739492,1278581,175,122,0.6
TVS,Bike,64,128,130,63869,1,24858,2021,2025,192409,118684,347,321,0.3
TVS,Car,80,271,63,98572,1,17300,2021,2025,2893695,1787792,101,98,0.4
MG,Car,84,272,155,98298,0,13293,2019,2025,2766162,947048,390,325,0.5
TVS,Bike,69,471,160,148716,5,33338,2023,2025,181104,127540,359,274,0.7
TVS,Car,78,335,105,87272,2,6861,2019,2025,2975085,1305899,328,302,0.5
MG,Car,91,141,81,46632,7,8581,2018,2025,2310398,604908,427,375,0.4
Mahindra,Bike,77,248,130,43038,5,9070,2020,2025,163788,71085,346,345,0.6
Kia,Bike,93,387,72,48961,4,9539,2020,2025,108253,53446,295,222,0.7
Hyundai,Bike,74,312,141,133198,3,13417,2017,2025,195829,45540,149,118,0.5
Tata,Car,83,274,101,108391,2,30329,2019,2025,3134652,1173768,207,197,0.4
TVS,Car,64,198,93,14096,3,11288,2022,2025,2762497,1865587,174,156,0.3
Tata,Bike,91,219,72,14487,3,6045,2020,2025,170493,77227,298,282,0.6
Ola,Bike,68,402,157,61776,6,35206,2019,2025,164496,62383,446,404,0.5
Tata,Car,64,116,88,114290,1,24898,2018,2025,2525921,841957,158,121,0.1
BYD,Bike,64,128,106,44318,0,31817,2019,2025,99309,37674,337,296,0.2
Mahindra,Bike,93,147,128,72211,6,17898,2024,2025,177056,146250,236,231,0.6
Kia,Car,66,485,177,122289,0,28816,2018,2025,2846651,868116,435,389,0.5
MG,Car,85,388,154,30608,7,5625,2022,2025,3108059,1936852,152,135,0.7
Tata,Bike,60,227,70,146643,7,24961,2018,2025,111684,27077,280,265,0.2
Tata,Car,93,167,122,53328,7,19886,2021,2025,1226613,752141,330,300,0.5
